"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","MonthlyIncomeFact","pred_Monthly_income.log","pred_monthlyincome"
"28",3.52636052461616,"Yes","Travel_Rarely",6.40357419793482,"Sales",2.30258509299405,"Master","Marketing","Low","Female",4.35670882668959,"High","2","Sales Executive","Low","Single",9.01493357563357,9.8193447844237,0,"Yes",2.89037175789616,"Excellent","Low",1.94591014905531,1.38629436111989,"Better",1.79175946922805,1.09861228866811,0,1.38629436111989,"High",8.5707960376033,5274.32747825612
"29",3.98898404656427,"Yes","Travel_Rarely",7.06390396147207,"Sales",3.2188758248682,"Master","Life Sciences","Low","Male",4.20469261939097,"High","3","Sales Executive","Low","Single",9.25426155903411,8.67317077287059,1.94591014905531,"Yes",2.63905732961526,"Excellent","Medium",2.77258872223978,1.09861228866811,"Good",1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,"Very High",9.17196905201513,9622.55532719983
"30",3.97029191355212,"No","Non-Travel",6.57368016696065,"Research & Development",2.99573227355399,"Master","Medical","Very High","Male",3.73766961828337,"High","1","Research Scientist","Very High","Married",8.35678966992321,10.1882904842371,0,"No",2.94443897916644,"Excellent","Low",1.79175946922805,1.38629436111989,"Better",1.6094379124341,1.38629436111989,0.693147180559945,1.09861228866811,"Average",7.85578335423085,2579.61585838567
"32",3.52636052461616,"No","Travel_Rarely",5.59098698051086,"Research & Development",3.09104245335832,"Bachelor","Medical","Medium","Male",4.38202663467388,"Very High","1","Laboratory Technician","Medium","Married",7.61529833982581,9.5206152930806,0.693147180559945,"No",2.94443897916644,"Excellent","Very High",2.70805020110221,1.94591014905531,"Better",2.70805020110221,2.484906649788,1.09861228866811,2.63905732961526,"Low",8.05982322936544,3163.73065346294
"33",3.85014760171006,"No","Travel_Rarely",6.19236248947487,"Sales",1.09861228866811,"Bachelor","Technical Degree","High","Female",4.33073334028633,"Low","4","Manager","Medium","Married",9.73346999019834,9.61433773680931,1.38629436111989,"Yes",2.56494935746154,"Excellent","Medium",3.36729582998647,1.09861228866811,"Good",2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,"Very High",9.7332730519641,16868.677388359
"39",4.04305126783455,"No","Travel_Rarely",5.33271879326537,"Human Resources",2.19722457733622,"Master","Life Sciences","Very High","Male",4.60517018598809,"High","5","Manager","Medium","Single",9.88928720313499,8.29978317194979,1.94591014905531,"No",2.70805020110221,"Excellent","Low",3.61091791264422,1.6094379124341,"Better",2.07944154167984,1.38629436111989,2.07944154167984,2.07944154167984,"Very High",9.91942942422715,20320.3924256115
"42",3.8286413964891,"No","Travel_Rarely",6.86171134048073,"Sales",1.09861228866811,"College","Technical Degree","Medium","Male",3.85014760171006,"Low","2","Sales Representative","High","Single",8.79981246952556,9.42456426111574,0,"No",2.63905732961526,"Excellent","Low",2.30258509299405,1.38629436111989,"Better",2.19722457733622,2.07944154167984,1.38629436111989,0.693147180559945,"High",8.51501215651832,4988.10670915237
"44",3.76120011569356,"No","Travel_Rarely",6.96602418710611,"Research & Development",2.30258509299405,"College","Other","Very High","Male",4.54329478227,"Medium","5","Manager","Very High","Single",9.88399887595227,10.1797167909419,2.19722457733622,"No",3.13549421592915,"Outstanding","Very High",3.2188758248682,1.09861228866811,"Better",0.693147180559945,0,0,0.693147180559945,"Very High",9.86555753334937,19254.6062936627
"48",3.66356164612965,"No","Travel_Rarely",6.64768837356333,"Sales",2.39789527279837,"Master","Marketing","High","Male",4.30406509320417,"Medium","3","Sales Executive","High","Divorced",9.07577987858049,8.62515033292133,0,"Yes",2.70805020110221,"Excellent","Medium",2.30258509299405,1.09861228866811,"Better",2.19722457733622,2.07944154167984,1.09861228866811,2.07944154167984,"High",9.11630048139242,9101.4645125423
"51",3.66356164612965,"No","Travel_Rarely",5.89440283426485,"Research & Development",0.693147180559945,"Below College","Life Sciences","High","Female",3.78418963391826,"High","1","Research Scientist","Low","Single",7.87092959675514,9.58617067495466,1.38629436111989,"No",2.89037175789616,"Excellent","Very High",2.19722457733622,1.38629436111989,"Good",0,0,0,0,"Low",7.97214414849315,2898.06673450587
"55",3.46573590279973,"No","Travel_Rarely",6.61606518513282,"Research & Development",2.19722457733622,"Master","Life Sciences","High","Female",4.12713438504509,"High","2","Manufacturing Director","Very High","Single",8.39502555744203,9.93706738579932,0.693147180559945,"No",3.17805383034795,"Outstanding","Very High",2.484906649788,1.09861228866811,"Better",2.484906649788,2.07944154167984,0.693147180559945,2.19722457733622,"Average",8.69558678162272,5975.4784266949
"56",3.73766961828337,"No","Travel_Rarely",6.30809844150953,"Research & Development",2.30258509299405,"Master","Life Sciences","High","Male",4.55387689160054,"High","1","Laboratory Technician","Low","Divorced",7.73630709654828,9.92920403104076,0.693147180559945,"No",3.04452243772342,"Outstanding","Medium",1.79175946922805,1.09861228866811,"Better",1.79175946922805,1.38629436111989,0,1.6094379124341,"Low",7.89439730374497,2681.21252984109
"57",3.76120011569356,"Yes","Travel_Frequently",6.83947643822884,"Research & Development",2.99573227355399,"Bachelor","Medical","High","Male",4.06044301054642,"Very High","1","Research Scientist","High","Divorced",7.9229859587112,9.92167122296976,1.94591014905531,"Yes",2.56494935746154,"Excellent","Very High",2.07944154167984,1.09861228866811,"Better",1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,"Low",8.01159132574271,3014.71227711553
"60",3.25809653802148,"Yes","Travel_Frequently",6.39692965521615,"Sales",3.2188758248682,"Below College","Life Sciences","High","Male",4.30406509320417,"Low","1","Sales Representative","Very High","Single",7.02019070831193,8.99230873254815,0.693147180559945,"Yes",2.70805020110221,"Excellent","Very High",0.693147180559945,1.6094379124341,"Better",0.693147180559945,0,0.693147180559945,0,"Low",7.82365746490118,2498.02882379773
"62",3.61091791264422,"No","Travel_Rarely",5.78689738136671,"Research & Development",2.39789527279837,"Master","Technical Degree","Very High","Female",4.15888308335967,"High","3","Healthcare Representative","High","Married",8.86714558959414,8.65660724719891,1.38629436111989,"No",2.56494935746154,"Excellent","Low",2.39789527279837,0,"Better",2.07944154167984,2.07944154167984,0.693147180559945,2.07944154167984,"High",9.08072492520683,8783.33170290561
"65",3.2188758248682,"Yes","Travel_Rarely",6.89264164117209,"Research & Development",2.89037175789616,"College","Life Sciences","Very High","Female",4.58496747867057,"High","1","Laboratory Technician","Medium","Married",7.70120018085745,8.12355783506165,0.693147180559945,"No",2.63905732961526,"Excellent","Low",0.693147180559945,1.38629436111989,"Bad",0.693147180559945,0,0,0,"Low",7.68687187883128,2178.5460035251
"69",3.58351893845611,"No","Travel_Frequently",6.49978704065585,"Research & Development",0.693147180559945,"Bachelor","Medical","Medium","Male",4.38202663467388,"High","1","Research Scientist","Low","Married",7.69393732550927,8.67743954055833,1.6094379124341,"No",2.63905732961526,"Excellent","Very High",1.79175946922805,1.09861228866811,"Good",1.38629436111989,1.09861228866811,0.693147180559945,1.09861228866811,"Low",7.89110005933009,2672.38318381273
"73",3.58351893845611,"Yes","Travel_Rarely",6.32256523992728,"Research & Development",3.17805383034795,"College","Life Sciences","Medium","Male",3.93182563272433,"Medium","2","Manufacturing Director","High","Married",8.68558484267669,9.6484662623239,1.38629436111989,"Yes",2.63905732961526,"Excellent","Low",2.19722457733622,0.693147180559945,"Better",0.693147180559945,0,0,0.693147180559945,"Average",8.68668459556761,5922.51081734446
"78",3.85014760171006,"No","Travel_Rarely",6.33505425149806,"Sales",0.693147180559945,"Master","Life Sciences","Very High","Male",4.04305126783455,"Very High","4","Manager","Low","Single",9.77383434430926,8.05737748855799,0.693147180559945,"No",2.77258872223978,"Excellent","Medium",3.3322045101752,1.79175946922805,"Bad",3.29583686600433,0,0,2.56494935746154,"Very High",9.8415158078411,18797.1888768776
"81",3.63758615972639,"Yes","Travel_Rarely",7.04053639021596,"Research & Development",2.484906649788,"College","Medical","Low","Female",4.12713438504509,"Low","2","Healthcare Representative","Medium","Married",8.47177732788576,9.57380223260389,1.79175946922805,"No",2.77258872223978,"Excellent","Low",2.77258872223978,1.09861228866811,"Bad",0.693147180559945,0,0,0,"Average",8.72568797928782,6158.11254813549
"83",3.66356164612965,"No","Travel_Frequently",6.23244801655052,"Research & Development",1.94591014905531,"Master","Life Sciences","Low","Male",4.29045944114839,"Medium","2","Manufacturing Director","High","Married",8.57960445153763,9.56696531466487,1.09861228866811,"No",2.484906649788,"Excellent","Very High",2.39789527279837,0.693147180559945,"Better",2.19722457733622,1.38629436111989,2.07944154167984,2.07944154167984,"Average",8.72666120809464,6164.10969171488
"85",3.61091791264422,"No","Travel_Rarely",6.06378520868761,"Research & Development",1.09861228866811,"Master","Life Sciences","High","Female",3.98898404656427,"High","2","Manufacturing Director","Medium","Single",8.59618919764273,7.7510451179718,2.30258509299405,"Yes",2.484906649788,"Excellent","Very High",2.94443897916644,1.09861228866811,"Better",2.83321334405622,2.70805020110221,1.79175946922805,2.56494935746154,"Average",8.76602538266675,6411.63397896592
"86",4.0943445622221,"No","Travel_Rarely",6.57368016696065,"Research & Development",1.09861228866811,"Bachelor","Life Sciences","High","Female",4.24849524204936,"Medium","4","Manufacturing Director","Very High","Single",9.52711997525166,9.99104044954399,1.38629436111989,"Yes",2.63905732961526,"Excellent","Low",3.43398720448515,1.6094379124341,"Better",1.79175946922805,1.38629436111989,1.6094379124341,1.38629436111989,"Very High",9.4749852926356,13028.6823652643
"90",3.85014760171006,"No","Travel_Rarely",6.55961523749324,"Sales",1.09861228866811,"Master","Marketing","Medium","Female",4.43081679884331,"High","5","Manager","Low","Single",9.84945366404364,10.0355240784039,1.38629436111989,"No",2.56494935746154,"Excellent","Very High",3.13549421592915,1.09861228866811,"Good",1.09861228866811,1.09861228866811,1.09861228866811,0.693147180559945,"Very High",9.81758187872944,18352.6157694646
"91",3.66356164612965,"No","Travel_Frequently",7.30720231476474,"Research & Development",1.09861228866811,"College","Life Sciences","Very High","Male",3.76120011569356,"High","1","Laboratory Technician","Very High","Married",7.44014668066269,9.40153907670774,0.693147180559945,"Yes",3.17805383034795,"Outstanding","High",0.693147180559945,1.38629436111989,"Better",0.693147180559945,0,0,0,"Low",7.71490858534541,2240.51798082455
"92",3.40119738166216,"Yes","Travel_Rarely",6.0137151560428,"Sales",3.17805383034795,"Below College","Life Sciences","Very High","Female",3.8286413964891,"Medium","3","Sales Executive","Low","Married",8.90068531871399,9.32036001701473,0.693147180559945,"No",2.63905732961526,"Excellent","Low",2.484906649788,1.38629436111989,"Bad",2.484906649788,2.19722457733622,1.38629436111989,2.39789527279837,"High",9.11078353953868,9051.38501495995
"94",3.58351893845611,"No","Travel_Rarely",6.50876913697168,"Research & Development",2.39789527279837,"Master","Medical","Low","Female",3.95124371858143,"High","2","Healthcare Representative","High","Single",8.72306850116393,8.3485378253861,1.38629436111989,"Yes",2.83321334405622,"Excellent","High",2.39789527279837,1.6094379124341,"Better",1.79175946922805,1.09861228866811,0,1.6094379124341,"High",8.6352409393106,5625.48920343515
"96",3.76120011569356,"No","Travel_Rarely",6.45519856334012,"Sales",0.693147180559945,"Below College","Life Sciences","Medium","Male",4.60517018598809,"High","2","Sales Executive","High","Married",8.4986218058308,10.107774429,0.693147180559945,"No",3.25809653802148,"Outstanding","High",3.04452243772342,1.38629436111989,"Better",3.04452243772342,2.83321334405622,2.484906649788,1.94591014905531,"Average",8.76367722994535,6396.59380026589
"102",3.46573590279973,"No","Travel_Rarely",5.78996017089725,"Sales",2.19722457733622,"College","Life Sciences","Low","Male",3.46573590279973,"High","3","Sales Executive","Very High","Divorced",9.28674570317859,9.03443816698441,0.693147180559945,"No",2.94443897916644,"Excellent","Low",2.63905732961526,1.79175946922805,"Better",2.63905732961526,2.07944154167984,2.30258509299405,2.30258509299405,"Very High",9.14134741109817,9332.3324990168
"103",3.55534806148941,"No","Non-Travel",7.23128700432762,"Sales",1.6094379124341,"Master","Marketing","High","Female",4.29045944114839,"High","2","Sales Executive","High","Married",8.78553952756128,9.45258041898138,2.30258509299405,"No",2.77258872223978,"Excellent","Low",1.94591014905531,1.38629436111989,"Better",1.38629436111989,1.09861228866811,0.693147180559945,1.09861228866811,"High",8.48312246642128,4831.51573145033
"105",3.98898404656427,"No","Travel_Rarely",6.10479323241498,"Research & Development",1.09861228866811,"Bachelor","Medical","Very High","Male",3.68887945411394,"Very High","4","Research Director","Medium","Single",9.71709773156622,9.89166797573079,1.6094379124341,"No",2.56494935746154,"Excellent","Medium",3.58351893845611,1.09861228866811,"Good",2.30258509299405,2.19722457733622,2.19722457733622,2.19722457733622,"Very High",9.87627119759282,19462.0134557545
"109",3.85014760171006,"Yes","Travel_Rarely",5.5683445037611,"Research & Development",3.09104245335832,"College","Medical","Very High","Female",4.20469261939097,"High","2","Healthcare Representative","Medium","Married",9.09683567117936,9.29127498947218,1.6094379124341,"No",3.13549421592915,"Outstanding","Very High",2.63905732961526,1.09861228866811,"Best",2.30258509299405,2.07944154167984,1.38629436111989,2.07944154167984,"High",8.66205352164996,5778.39058883356
"118",3.40119738166216,"No","Travel_Rarely",7.2291138777933,"Research & Development",2.63905732961526,"College","Other","Very High","Male",3.85014760171006,"Medium","2","Laboratory Technician","Medium","Married",8.30052860619974,10.0723860889979,1.6094379124341,"Yes",2.63905732961526,"Excellent","Low",2.39789527279837,1.09861228866811,"Better",1.6094379124341,1.38629436111989,0,1.38629436111989,"Average",8.44291063672974,4641.04665184866
"119",3.73766961828337,"No","Travel_Rarely",6.14418563412565,"Research & Development",2.70805020110221,"Bachelor","Life Sciences","Low","Male",4.04305126783455,"High","1","Research Scientist","High","Divorced",7.8046592970561,8.43598313599069,1.6094379124341,"No",2.56494935746154,"Excellent","Low",2.63905732961526,1.09861228866811,"Better",2.30258509299405,2.19722457733622,0.693147180559945,2.19722457733622,"Low",8.02191297233295,3046.00058912911
"121",3.61091791264422,"No","Non-Travel",6.0591231955818,"Research & Development",2.19722457733622,"Bachelor","Life Sciences","Low","Female",4.15888308335967,"Very High","3","Research Director","Low","Married",9.36853998664973,9.92014799342924,2.30258509299405,"No",2.70805020110221,"Excellent","Low",2.39789527279837,1.09861228866811,"Better",2.19722457733622,2.07944154167984,0,1.79175946922805,"Very High",9.35440654105899,11548.6052867542
"124",3.66356164612965,"No","Travel_Rarely",5.4971682252932,"Sales",2.07944154167984,"Master","Marketing","Very High","Female",3.85014760171006,"Medium","2","Sales Executive","Very High","Single",8.30127348519135,8.96085284532237,0,"No",3.04452243772342,"Outstanding","Low",2.19722457733622,1.09861228866811,"Better",2.07944154167984,2.07944154167984,0,1.79175946922805,"Average",8.62569343074793,5572.02587649324
"128",3.8286413964891,"No","Travel_Rarely",6.32256523992728,"Research & Development",3.25809653802148,"College","Life Sciences","Medium","Female",4.54329478227,"Medium","2","Manufacturing Director","Very High","Married",8.68389336730723,10.0811733809256,0,"No",2.63905732961526,"Excellent","Very High",2.39789527279837,1.09861228866811,"Good",2.30258509299405,2.19722457733622,1.38629436111989,2.19722457733622,"Average",8.68847098421137,5933.10196693786
"132",3.91202300542815,"No","Travel_Rarely",7.18083119904456,"Sales",2.484906649788,"Master","Marketing","Very High","Female",4.39444915467244,"High","2","Sales Executive","Very High","Single",8.41360887515967,9.01091334727929,1.38629436111989,"No",2.56494935746154,"Excellent","High",2.19722457733622,0.693147180559945,"Best",1.79175946922805,0.693147180559945,0,1.6094379124341,"Average",8.60931832563085,5481.51011707936
"135",3.78418963391826,"No","Travel_Frequently",6.32793678372919,"Research & Development",2.39789527279837,"Master","Life Sciences","High","Female",4.4188406077966,"Medium","2","Laboratory Technician","High","Divorced",8.56750600528983,8.73681053295389,0.693147180559945,"No",2.484906649788,"Excellent","Medium",2.30258509299405,1.38629436111989,"Best",2.30258509299405,2.07944154167984,0,0,"Average",8.40854527954156,4484.23100609219
"136",3.71357206670431,"No","Travel_Frequently",6.67456139181443,"Research & Development",1.09861228866811,"College","Medical","High","Female",3.66356164612965,"Very High","2","Healthcare Representative","Medium","Married",8.35349709874545,9.20351714662806,0.693147180559945,"No",3.2188758248682,"Outstanding","Very High",2.19722457733622,1.09861228866811,"Better",2.19722457733622,2.07944154167984,1.38629436111989,2.07944154167984,"Average",8.66978603953946,5823.2530563345
"139",3.68887945411394,"Yes","Travel_Rarely",7.02375895473844,"Research & Development",1.94591014905531,"Bachelor","Medical","Very High","Male",4.26267987704132,"High","1","Laboratory Technician","Low","Married",7.78530518253986,8.36730010184162,2.07944154167984,"Yes",3.09104245335832,"Outstanding","Very High",2.19722457733622,1.09861228866811,"Bad",1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,"Low",7.90512779801881,2710.14896953089
"140",3.63758615972639,"No","Travel_Rarely",7.08170858610557,"Sales",1.38629436111989,"Bachelor","Life Sciences","High","Male",4.47733681447821,"High","3","Sales Executive","Very High","Single",8.91314653915181,9.5823865705389,1.09861228866811,"No",2.56494935746154,"Excellent","Low",2.56494935746154,1.38629436111989,"Better",1.79175946922805,1.38629436111989,0.693147180559945,1.38629436111989,"High",9.08872091061306,8853.85265753355
"145",3.71357206670431,"No","Travel_Rarely",7.09257371597468,"Research & Development",1.09861228866811,"Below College","Medical","Medium","Female",4.49980967033027,"Very High","2","Healthcare Representative","High","Divorced",8.76060984757,9.53885243891622,1.79175946922805,"No",3.04452243772342,"Outstanding","Medium",2.77258872223978,0,"Better",2.56494935746154,2.484906649788,2.484906649788,2.19722457733622,"High",8.76457887568002,6402.36476471981
"148",3.52636052461616,"No","Travel_Rarely",7.12528309151071,"Sales",2.19722457733622,"Master","Life Sciences","Low","Male",3.85014760171006,"High","2","Sales Executive","Low","Married",8.76295892076673,9.26766543859545,1.09861228866811,"No",2.63905732961526,"Excellent","Very High",2.19722457733622,1.94591014905531,"Bad",1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,"High",8.63829138992485,5642.67873546166
"150",3.36729582998647,"No","Travel_Rarely",6.36475075685191,"Research & Development",3.3322045101752,"Bachelor","Medical","Medium","Female",3.68887945411394,"Low","2","Manufacturing Director","Low","Divorced",8.49249057877587,9.92627591416656,0,"No",3.09104245335832,"Outstanding","Medium",1.94591014905531,1.79175946922805,"Good",1.79175946922805,1.38629436111989,0,0,"Average",8.60471348128526,5456.32204944103
"152",3.49650756146648,"No","Travel_Rarely",6.8351845861473,"Sales",2.39789527279837,"Bachelor","Marketing","Very High","Male",4.02535169073515,"High","2","Sales Executive","Very High","Single",8.59359852261864,9.98525185433877,0.693147180559945,"No",2.56494935746154,"Excellent","Very High",2.39789527279837,1.09861228866811,"Good",2.39789527279837,2.07944154167984,0,2.19722457733622,"Average",8.61763033455966,5527.2707078801
"156",3.43398720448515,"No","Non-Travel",6.46458830368996,"Sales",3.25809653802148,"College","Technical Degree","Very High","Female",4.45434729625351,"High","2","Sales Executive","High","Married",8.46315930292375,8.71111388405354,2.07944154167984,"Yes",2.56494935746154,"Excellent","Medium",1.6094379124341,1.09861228866811,"Best",1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,"Average",8.42139339686017,4542.2295685909
"157",3.71357206670431,"No","Travel_Rarely",6.09807428216624,"Sales",1.09861228866811,"College","Marketing","Medium","Female",4.53259949315326,"High","2","Sales Executive","Medium","Married",8.64435433703292,8.35678966992321,1.38629436111989,"No",2.70805020110221,"Excellent","High",2.77258872223978,1.6094379124341,"Better",2.484906649788,2.19722457733622,1.79175946922805,2.39789527279837,"Average",8.68735848445577,5926.50395077612
"158",3.68887945411394,"Yes","Travel_Frequently",5.31811999384422,"Research & Development",1.09861228866811,"Bachelor","Life Sciences","Low","Male",4.44265125649032,"High","4","Healthcare Representative","Very High","Divorced",9.40672918598157,9.51399421393766,2.07944154167984,"No",2.484906649788,"Excellent","Very High",3.09104245335832,1.6094379124341,"Better",2.94443897916644,2.07944154167984,2.484906649788,1.79175946922805,"Very High",9.3870707567398,11932.0931537785
"163",3.52636052461616,"No","Travel_Rarely",7.10414409298753,"Sales",2.19722457733622,"Master","Marketing","High","Male",3.68887945411394,"High","2","Sales Executive","High","Divorced",8.8685540405312,9.92485757827232,0,"No",2.56494935746154,"Excellent","Very High",1.94591014905531,1.38629436111989,"Better",1.79175946922805,0,0.693147180559945,1.09861228866811,"High",8.5997691018973,5429.40557624924
"167",3.91202300542815,"No","Travel_Rarely",5.71042701737487,"Research & Development",3.13549421592915,"Master","Other","Low","Female",4.29045944114839,"High","4","Research Director","Medium","Married",9.70588990818966,8.16023249236769,1.38629436111989,"No",2.83321334405622,"Excellent","Medium",3.3322045101752,1.09861228866811,"Better",1.6094379124341,1.09861228866811,0.693147180559945,1.09861228866811,"Very High",9.78380192525861,17742.9860828266
"169",3.97029191355212,"No","Travel_Rarely",6.86380339145295,"Research & Development",1.94591014905531,"College","Technical Degree","Very High","Male",4.36944785246702,"High","2","Research Scientist","Low","Divorced",8.62658556818743,10.00278975361,1.38629436111989,"Yes",2.56494935746154,"Excellent","Medium",2.94443897916644,1.38629436111989,"Better",2.39789527279837,2.30258509299405,1.94591014905531,2.30258509299405,"Average",8.55937113948389,5214.40038160448
"170",3.40119738166216,"No","Travel_Rarely",7.01031186730723,"Research & Development",3.36729582998647,"Master","Life Sciences","High","Female",4.54329478227,"High","1","Research Scientist","Very High","Divorced",7.83002808253384,10.2024433372113,1.6094379124341,"No",3.13549421592915,"Outstanding","Low",2.484906649788,0.693147180559945,"Better",2.07944154167984,1.79175946922805,0.693147180559945,2.07944154167984,"Low",8.02073170179268,3042.40338215258
"171",3.43398720448515,"No","Travel_Rarely",6.21860011969173,"Sales",3.3322045101752,"Doctor","Marketing","High","Male",4.60517018598809,"High","2","Sales Executive","Very High","Divorced",8.57640505104808,10.1376106078933,2.07944154167984,"No",3.17805383034795,"Outstanding","Very High",2.39789527279837,1.09861228866811,"Good",2.19722457733622,2.07944154167984,2.07944154167984,2.07944154167984,"Average",8.57838374714571,5314.50737482046
"172",3.87120101090789,"No","Non-Travel",7.0647590277918,"Research & Development",2.70805020110221,"Master","Technical Degree","High","Male",4.17438726989564,"High","2","Research Scientist","Medium","Married",8.60666819784384,7.66199755890189,2.19722457733622,"No",2.94443897916644,"Excellent","High",2.83321334405622,1.6094379124341,"Best",2.19722457733622,2.07944154167984,0.693147180559945,2.07944154167984,"Average",8.46480206074605,4743.78813906593
"178",3.29583686600433,"Yes","Travel_Frequently",5.83773044716594,"Research & Development",1.09861228866811,"Bachelor","Life Sciences","Low","Male",4.06044301054642,"High","1","Research Scientist","Low","Married",7.62217459481762,9.63867529417509,1.94591014905531,"Yes",2.70805020110221,"Excellent","Medium",1.94591014905531,1.09861228866811,"Better",1.38629436111989,1.09861228866811,0.693147180559945,1.09861228866811,"Low",7.9147287738793,2736.30400134492
